FID,pointid,grid_code,reforest,recultivat,area,RASTERVALU,Longitude,Latitude,lu
388938,703884,361024,2,8,49500,0.495,1086629,2988947,0
388940,703886,360982,2,8,130500,1.305,996729,2989090,0
388941,703887,360902,2,8,33300,0.333,919408,2988916,0
388942,703888,360824,2,8,88200,0.882,1019394,2989069,0
388943,703889,360981,2,8,52200,0.522,1054216,2988979,0
388946,703894,360902,2,8,23400,0.234,926776,2988847,0
388947,703895,360521,2,8,54000,0.54,937400,2988884,0
388948,703896,360521,2,8,81000,0.81,938046,2988940,0
388954,703903,360902,2,8,56700,0.567,918616,2988886,0
388955,703904,360502,2,8,68400,0.684,982740,2988848,0
388956,703905,360502,2,8,81000,0.81,983902,2988899,0
388957,703906,361027,2,8,96300,0.963,1144988,2988875,0
388959,703913,360502,2,8,96300,0.963,976614,2988884,0
388960,703914,360981,2,8,39600,0.396,1055256,2988775,0
388961,703915,361002,2,8,49500,0.495,1133094,2988859,0
388962,703918,360502,2,8,102600,1.026,979405,2988864,0
388964,703922,360521,2,8,345600,3.456,940297,2989039,0
388965,703923,360521,2,8,35100,0.351,950325,2988779,0
388966,703924,360982,2,8,39600,0.396,1000912,2988720,0
388967,703925,361024,2,8,72000,0.72,1099686,2988868,0
388970,703928,360902,2,8,38700,0.387,927394,2988681,0
388971,703929,360521,2,8,43200,0.432,950841,2988747,0
388972,703930,361024,2,8,27900,0.279,1088716,2988727,0
388973,703931,361024,2,8,35100,0.351,1089398,2988742,0
388976,703935,360982,2,8,42300,0.423,998718,2988687,0
388980,703939,360502,2,8,24300,0.243,958505,2988630,0
388981,703940,360982,2,8,99900,0.999,1009662,2988802,0
388982,703941,360824,2,8,251100,2.511,1014096,2988892,0
388983,703942,361024,2,8,40500,0.405,1084346,2988647,0
388984,703945,360502,2,8,26100,0.261,968351,2988639,0
388985,703946,360982,2,8,33300,0.333,993248,2988618,0
388986,703947,360982,2,8,72000,0.72,1002587,2988680,0
388988,703950,360981,2,8,54000,0.54,1055738,2988687,0
388989,703951,361002,2,8,16200,0.162,1126009,2988577,0
388993,703957,360902,2,8,39600,0.396,918810,2988607,0
388994,703958,360521,2,8,41400,0.414,949365,2988564,0
388995,703959,360982,2,8,36000,0.36,1003829,2988528,0
